,Player,Team,PLAYER_ID,PTS2,xPTS2,FG2_PCT,Shot_Making2,Points_Added2,PTS3,xPTS3,FG3_PCT,Shot_Making3,Points_Added3,PTS,xPTS,eFG,xeFG,Shot_Making,Points_Added
187,Ty Jerome,Cleveland Cavaliers,1629660,370.0,320.76,0.566,0.151,49.24,282.0,245.67,0.414,0.16,36.33,652,566.42,0.588,0.511,0.154,85.6
188,Cameron Johnson,Brooklyn Nets,1629661,360.0,331.44,0.571,0.091,28.56,459.0,406.91,0.399,0.136,52.09,819,738.34,0.587,0.529,0.116,80.7
189,Jordan Poole,Washington Wizards,1629673,372.0,391.07,0.489,-0.05,-19.07,588.0,552.88,0.37,0.066,35.12,960,943.99,0.527,0.519,0.018,16.0
190,Neemias Queta,Boston Celtics,1629674,210.0,206.94,0.648,0.019,3.06,0.0,3.4,0.0,-1.133,-3.4,210,210.34,0.636,0.637,-0.002,-0.3
191,Naz Reid,Minnesota Timberwolves,1629675,446.0,464.63,0.536,-0.045,-18.63,489.0,468.72,0.387,0.048,20.28,935,933.34,0.559,0.558,0.002,1.7
192,Grant Williams,Charlotte Hornets,1629684,54.0,54.44,0.551,-0.009,-0.44,81.0,78.4,0.38,0.037,2.6,135,132.85,0.562,0.554,0.018,2.2
193,Garrison Mathews,Atlanta Hawks,1629726,32.0,41.02,0.432,-0.244,-9.02,246.0,217.47,0.394,0.137,28.53,278,258.48,0.567,0.528,0.08,19.5
194,Dean Wade,Cleveland Cavaliers,1629731,56.0,50.62,0.667,0.128,5.38,201.0,212.39,0.354,-0.06,-11.39,257,263.01,0.556,0.569,-0.026,-6.0
195,Javonte Green,Cleveland Cavaliers,1629750,134.0,155.62,0.523,-0.169,-21.62,135.0,139.52,0.369,-0.037,-4.52,269,295.14,0.538,0.59,-0.105,-26.1
196,Anthony Edwards,Minnesota Timberwolves,1630162,684.0,710.92,0.484,-0.038,-26.92,831.0,685.32,0.401,0.211,145.68,1515,1396.25,0.542,0.5,0.085,118.8
197,LaMelo Ball,Charlotte Hornets,1630163,432.0,453.6,0.474,-0.047,-21.6,519.0,538.89,0.338,-0.039,-19.89,951,992.49,0.491,0.513,-0.043,-41.5
198,Deni Avdija,Portland Trail Blazers,1630166,458.0,464.25,0.549,-0.015,-6.25,315.0,316.06,0.367,-0.004,-1.06,773,780.32,0.55,0.555,-0.01,-7.3
199,Obi Toppin,Indiana Pacers,1630167,342.0,300.28,0.698,0.17,41.72,249.0,258.11,0.361,-0.04,-9.11,591,558.4,0.622,0.588,0.069,32.6
200,Onyeka Okongwu,Atlanta Hawks,1630168,550.0,553.14,0.634,-0.007,-3.14,99.0,119.31,0.314,-0.193,-20.31,649,672.42,0.602,0.624,-0.043,-23.4
201,Tyrese Haliburton,Indiana Pacers,1630169,430.0,374.96,0.57,0.146,55.04,558.0,510.59,0.388,0.099,47.41,988,885.53,0.576,0.517,0.12,102.5
202,Devin Vassell,San Antonio Spurs,1630170,406.0,388.08,0.506,0.045,17.92,372.0,367.74,0.353,0.012,4.26,778,755.82,0.517,0.503,0.029,22.2
203,Isaac Okoro,Cleveland Cavaliers,1630171,90.0,96.99,0.549,-0.085,-6.99,132.0,137.17,0.37,-0.043,-5.17,222,234.16,0.552,0.582,-0.06,-12.2
204,Patrick Williams,Chicago Bulls,1630172,170.0,213.67,0.415,-0.213,-43.67,222.0,235.24,0.346,-0.062,-13.24,392,448.91,0.468,0.536,-0.136,-56.9
205,Precious Achiuwa,New York Knicks,1630173,230.0,250.92,0.55,-0.1,-20.92,27.0,35.62,0.29,-0.278,-8.62,257,286.54,0.535,0.597,-0.123,-29.5
206,Aaron Nesmith,Indiana Pacers,1630174,146.0,139.96,0.593,0.049,6.04,165.0,145.88,0.42,0.146,19.12,311,285.84,0.612,0.563,0.099,25.2
207,Cole Anthony,Orlando Magic,1630175,286.0,301.7,0.467,-0.051,-15.7,183.0,200.44,0.333,-0.095,-17.44,469,502.13,0.48,0.513,-0.068,-33.1
208,Tyrese Maxey,Philadelphia 76ers,1630178,632.0,633.52,0.516,-0.002,-1.52,468.0,496.27,0.332,-0.06,-28.27,1100,1129.79,0.508,0.522,-0.028,-29.8
209,Josh Green,Charlotte Hornets,1630182,158.0,184.5,0.485,-0.163,-26.5,267.0,257.88,0.385,0.039,9.12,425,442.39,0.539,0.561,-0.044,-17.4
210,Jaden McDaniels,Minnesota Timberwolves,1630183,530.0,511.4,0.571,0.04,18.6,288.0,315.33,0.345,-0.098,-27.33,818,826.73,0.551,0.557,-0.012,-8.7
211,Jalen Smith,Chicago Bulls,1630188,196.0,184.1,0.636,0.077,11.9,201.0,223.34,0.338,-0.113,-22.34,397,407.45,0.564,0.579,-0.03,-10.4
212,Isaiah Stewart,Detroit Pistons,1630191,282.0,285.96,0.605,-0.017,-3.96,36.0,48.54,0.286,-0.299,-12.54,318,334.51,0.578,0.608,-0.06,-16.5
213,Zeke Nnaji,Denver Nuggets,1630192,94.0,94.66,0.61,-0.009,-0.66,39.0,48.94,0.302,-0.231,-9.94,133,143.6,0.554,0.598,-0.088,-10.6
214,Immanuel Quickley,Toronto Raptors,1630193,176.0,184.25,0.481,-0.045,-8.25,210.0,204.08,0.372,0.031,5.92,386,388.31,0.52,0.523,-0.006,-2.3
215,Paul Reed,Detroit Pistons,1630194,108.0,106.62,0.587,0.015,1.38,21.0,23.95,0.318,-0.134,-2.95,129,130.57,0.566,0.573,-0.014,-1.6
216,Isaiah Joe,Oklahoma City Thunder,1630198,114.0,117.41,0.538,-0.032,-3.41,468.0,420.39,0.401,0.122,47.61,582,537.8,0.588,0.543,0.089,44.2
217,Tre Jones,Chicago Bulls,1630200,206.0,194.02,0.572,0.067,11.98,54.0,53.17,0.383,0.018,0.83,260,247.19,0.573,0.544,0.056,12.8
218,Payton Pritchard,Boston Celtics,1630202,222.0,179.46,0.627,0.24,42.54,669.0,565.62,0.424,0.197,103.38,891,745.07,0.634,0.53,0.208,145.9
219,Nick Richards,Phoenix Suns,1630208,364.0,379.3,0.599,-0.05,-15.3,0.0,1.99,0.0,-0.995,-1.99,364,381.29,0.595,0.623,-0.057,-17.3
220,Jared Butler,Philadelphia 76ers,1630215,208.0,196.66,0.52,0.057,11.34,99.0,115.85,0.317,-0.162,-16.85,307,312.51,0.505,0.514,-0.018,-5.5
221,Desmond Bane,Memphis Grizzlies,1630217,542.0,518.13,0.546,0.048,23.87,402.0,351.92,0.398,0.149,50.08,944,870.05,0.567,0.522,0.089,74.0
222,Jalen Green,Houston Rockets,1630224,642.0,659.72,0.487,-0.027,-17.72,621.0,597.13,0.354,0.041,23.87,1263,1256.84,0.508,0.505,0.005,6.2
223,Jonathan Kuminga,Golden State Warriors,1630228,350.0,377.39,0.503,-0.079,-27.39,120.0,133.58,0.328,-0.111,-13.58,470,510.96,0.5,0.544,-0.087,-41.0
